id_sklep;id_produkt;cena;ilosc
1;1;973;5756
1;2;1671;7625
1;3;4174;8823
1;4;3501;9739
1;5;469;8450
1;6;1185;4165
1;7;2752;3212
1;8;1672;7173
1;9;3934;6685
1;10;2916;2443
1;11;692;5676
1;12;2828;4905
1;13;2827;6521
1;14;127;2091
1;15;833;7597
1;16;2579;2897
1;17;2752;1277
1;18;3997;8585
1;19;2398;4915
1;20;575;8323
1;21;1531;9980
1;22;305;3727
1;23;1335;6316
1;24;3131;9718
1;25;4446;5056
1;26;954;6507
1;27;4112;1143
1;28;167;8406
1;29;2066;2391
1;30;697;1292
1;31;1827;2701
1;32;2130;8423
1;33;828;4833
1;34;3062;9057
1;35;2991;4897
1;36;3678;7288
1;37;3244;7675
1;38;1388;1281
1;39;2812;2103
1;40;1467;8753
1;41;3892;8397
1;42;4386;7604
1;43;3297;2749
1;44;605;2201
1;45;1814;1746
1;46;3749;3012
1;47;4192;2998
1;48;2933;7675
1;49;3437;1446
1;50;4101;8683
1;51;2036;1649
1;52;1964;7004
1;53;1476;7473
1;54;3161;2721
1;55;3398;9556
1;56;4472;3886
1;57;176;3886
1;58;4026;7839
1;59;3043;8095
1;60;3831;5292
1;61;2921;2254
1;62;4472;1091
1;63;2935;1154
1;64;1940;4723
1;65;4225;9099
1;66;130;4512
1;67;4180;1160
1;68;330;1523
1;69;779;9084
1;70;340;9850
1;71;2354;6655
1;72;251;5053
1;73;4187;2435
1;74;1255;8625
1;75;4294;6301
1;76;2634;8519
1;77;2524;3436
1;78;3398;5911
1;79;2771;8438
1;80;2376;6745
1;81;1476;7878
1;82;2525;9526
1;83;4165;1783
1;84;3317;1406
1;85;2074;9912
1;86;4070;6700
1;87;1571;8448
1;88;1383;2946
1;89;1278;2931
1;90;751;5112
1;91;1031;7383
1;92;3231;3582
1;93;463;1765
1;94;2821;8480
1;95;1354;8688
1;96;536;2714
1;97;1788;6612
1;98;1520;2194
1;99;802;5520
1;100;1918;2940
2;101;1888;6954
2;102;3995;1960
2;103;1859;4703
2;104;3448;6542
2;105;3954;1636
2;106;2796;6197
2;107;3389;1776
2;108;661;4318
2;109;462;5758
2;110;3029;8039
2;111;2925;3462
2;112;602;7192
2;113;3579;1193
2;114;753;2433
2;115;3511;9008
2;116;1076;4760
2;117;2285;8381
2;118;619;7056
2;119;2723;9171
2;120;3225;5269
2;121;2208;3288
2;122;3756;2594
2;123;3625;6731
2;124;3479;7957
2;125;2247;7645
2;126;3079;2770
2;127;2027;3601
2;128;3307;8515
2;129;27;3598
2;130;2086;7429
2;131;462;1301
2;132;4054;6728
2;133;3216;5688
2;134;1357;7104
2;135;2869;5012
2;136;1148;2804
2;137;655;9722
2;138;332;1613
2;139;1926;7139
2;140;2843;2496
2;141;3938;4859
2;142;2404;1211
2;143;763;4986
2;144;1472;4967
2;145;508;9409
2;146;3626;2489
2;147;2415;2385
2;148;3480;3389
2;149;3464;6423
2;150;968;8556
2;151;199;8583
2;152;3041;4089
2;153;3160;2494
2;154;3690;3065
2;155;2608;8263
2;156;2465;7821
2;157;1423;8444
2;158;1769;6492
2;159;308;8888
2;160;238;7859
2;161;1832;9848
2;162;4248;8840
2;163;2258;1917
2;164;2867;3334
2;165;2066;5279
2;166;3516;5634
2;167;4412;8634
2;168;3894;8186
2;169;519;4050
2;170;3859;8895
2;171;2670;4802
2;172;3741;9412
2;173;3198;8272
2;174;1086;1649
2;175;1490;3419
2;176;3883;3962
2;177;648;8181
2;178;2083;5060
2;179;2511;8191
2;180;1805;4365
2;181;38;3626
2;182;3956;6671
2;183;1542;7336
2;184;1436;1115
2;185;1761;3353
2;186;263;3014
2;187;3440;5237
2;188;2142;1457
2;189;1701;5817
2;190;101;3999
2;191;3087;4425
2;192;1335;3090
2;193;1080;7936
2;194;4249;5348
2;195;4283;5752
2;196;3320;8907
2;197;1351;7395
2;198;2211;2272
2;199;412;8399
2;200;583;8806
3;201;1104;5699
3;202;2729;3316
