id_sklep;id_ulica;telefon
1;1;(676) 332-5051
2;2;(175) 313-5021
3;3;(655) 387-9716
4;4;(842) 238-6604
5;5;(238) 456-4795
6;6;(760) 187-2959
7;7;(128) 153-0186
8;8;(919) 965-1001
9;9;(541) 589-2135
10;10;(995) 949-8916
11;11;(113) 608-7744
12;12;(945) 506-5818
13;13;(123) 164-6062
14;14;(162) 869-8117
15;15;(955) 914-0162
16;16;(567) 193-6142
17;17;(945) 393-2814
18;18;(804) 491-1452
19;19;(457) 883-6577
20;20;(206) 291-1369
21;21;(487) 453-1128
22;22;(620) 919-8236
23;23;(498) 794-2649
24;24;(487) 792-0323
25;25;(781) 435-5592
26;26;(656) 208-4076
27;27;(863) 410-4178
28;28;(250) 700-7412
29;29;(843) 786-4114
30;30;(551) 613-0794
31;31;(948) 798-5673
32;32;(661) 530-9520
33;33;(578) 845-6490
34;34;(226) 700-5552
35;35;(994) 997-5505
36;36;(958) 845-2327
37;37;(109) 926-5263
38;38;(809) 120-7508
39;39;(232) 559-0928
40;40;(876) 614-0342
41;41;(584) 569-6310
42;42;(705) 495-4140
43;43;(291) 348-9278
44;44;(147) 846-8382
45;45;(893) 621-8694
46;46;(998) 752-4595
47;47;(398) 423-3015
48;48;(413) 133-6309
49;49;(551) 767-9730
50;50;(621) 199-6628
51;51;(264) 436-5780
52;52;(713) 556-1519
53;53;(865) 524-4950
54;54;(844) 488-4531
55;55;(818) 583-9437
56;56;(266) 196-6815
57;57;(316) 124-3450
58;58;(575) 706-4305
59;59;(727) 748-9266
60;60;(433) 782-8553
61;61;(996) 101-0995
62;62;(877) 546-1677
63;63;(908) 942-6943
64;64;(763) 517-4129
65;65;(928) 638-1840
66;66;(565) 473-0140
67;67;(920) 588-9593
68;68;(788) 185-6963
69;69;(729) 659-7528
70;70;(680) 332-2392
71;71;(511) 320-3257
72;72;(208) 233-5905
73;73;(731) 870-6728
74;74;(344) 761-8444
75;75;(732) 754-0301
76;76;(886) 212-1451
77;77;(990) 181-1100
78;78;(356) 762-8667
79;79;(650) 566-3471
80;80;(637) 354-7680
81;81;(827) 768-1422
82;82;(843) 819-8237
83;83;(417) 178-5250
84;84;(235) 807-9989
85;85;(213) 415-4212
86;86;(191) 282-7893
87;87;(260) 569-5411
88;88;(964) 967-6402
89;89;(448) 892-4285
90;90;(155) 591-2366
91;91;(407) 856-1629
92;92;(199) 879-9920
93;93;(347) 675-5889
94;94;(444) 445-9015
95;95;(897) 646-7632
96;96;(569) 786-8937
97;97;(413) 810-8399
98;98;(131) 523-1828
99;99;(940) 937-9829
100;100;(371) 742-0984
