id_sprzedaz;id_sklep;id_czas;id_zamowienie;koszt_calkowity;data_dostarczenia;kod
1;33;56;1;9909;11.06.2020;
2;99;211;2;4400;07.08.2020;
3;18;420;3;9358;08.04.2021;
4;51;196;4;2246;04.10.2020;
5;14;107;5;4575;19.03.2021;
6;1;234;6;9037;29.06.2020;
7;63;438;7;7120;12.11.2020;
8;27;259;8;7094;24.11.2020;
9;35;385;9;5724;06.11.2020;
10;80;380;10;1817;30.12.2020;
11;36;327;11;6157;01.04.2021;
12;30;455;12;3851;26.05.2020;
13;98;256;13;2900;09.09.2020;
14;71;115;14;5332;04.03.2021;
15;38;343;15;5390;07.08.2020;
16;82;247;16;2975;16.12.2020;
17;80;322;17;5882;11.04.2021;
18;37;134;18;771;31.12.2020;
19;92;171;19;3245;10.11.2020;
20;20;166;20;2587;13.08.2020;
21;93;495;21;1583;18.12.2020;
22;49;284;22;573;09.01.2021;
23;8;492;23;6085;08.03.2021;
24;37;406;24;7024;27.06.2020;
25;51;430;25;6582;18.07.2020;
26;63;53;26;2334;19.12.2020;
27;28;53;27;4960;04.08.2020;
28;2;63;28;7043;02.05.2020;
29;39;240;29;3967;25.07.2020;
30;67;485;30;8190;23.01.2021;
31;59;146;31;6558;21.08.2020;
32;96;471;32;6993;27.06.2020;
33;32;134;33;2078;17.10.2020;
34;8;26;34;1668;16.07.2020;
35;74;374;35;3622;29.11.2020;
36;49;121;36;8988;31.08.2020;
37;96;410;37;5991;10.04.2021;
38;24;62;38;6716;22.04.2021;
39;16;97;39;3040;30.03.2021;
40;62;490;40;7312;01.02.2021;
41;62;275;41;6268;04.04.2021;
42;46;337;42;785;15.04.2021;
43;9;492;43;5309;25.10.2020;
44;83;312;44;622;23.12.2020;
45;89;177;45;6884;19.01.2021;
46;5;21;46;8440;06.06.2020;
47;8;272;47;3176;27.05.2020;
48;97;188;48;2161;08.09.2020;
49;94;465;49;6931;06.02.2021;
50;75;141;50;9638;25.08.2020;
51;94;174;51;3740;03.08.2020;
52;64;201;52;7451;04.06.2020;
53;67;263;53;8300;19.05.2020;
54;24;438;54;8337;18.07.2020;
55;1;203;55;6420;04.09.2020;
56;79;141;56;8077;05.12.2020;
57;92;173;57;9738;02.02.2021;
58;48;165;58;4159;12.11.2020;
59;79;423;59;4722;31.08.2020;
60;83;22;60;7010;11.04.2021;
61;31;4;61;6754;14.04.2021;
62;82;173;62;4380;27.01.2021;
63;26;479;63;8672;24.04.2021;
64;26;410;64;4451;28.08.2020;
65;52;439;65;8100;30.06.2020;
66;57;66;66;9369;21.11.2020;
67;29;240;67;6518;10.03.2021;
68;5;323;68;6621;29.11.2020;
69;77;131;69;3622;19.03.2021;
70;11;87;70;499;26.03.2021;
71;32;320;71;1597;17.12.2020;
72;31;425;72;6577;17.10.2020;
73;9;79;73;1528;19.12.2020;
74;95;48;74;3775;24.06.2020;
75;70;315;75;2271;11.12.2020;
76;58;324;76;4569;10.11.2020;
77;72;36;77;8997;31.12.2020;
78;77;42;78;6087;27.07.2020;
79;58;417;79;1246;27.01.2021;
80;75;500;80;8538;21.07.2020;
81;58;299;81;6162;29.07.2020;
82;11;163;82;4244;12.09.2020;
83;88;388;83;1646;29.08.2020;
84;31;402;84;3865;04.02.2021;
85;23;103;85;3890;09.12.2020;
86;83;405;86;4516;28.07.2020;
87;41;457;87;7249;26.04.2021;
88;60;452;88;2367;13.02.2021;
89;97;243;89;7621;25.07.2020;
90;77;145;90;9461;28.12.2020;
91;15;98;91;7063;13.08.2020;
92;91;87;92;5540;09.11.2020;
93;79;74;93;7510;02.09.2020;
94;41;106;94;8938;20.11.2020;
95;33;480;95;190;19.02.2021;
96;40;397;96;1849;25.11.2020;
97;70;299;97;8672;20.03.2021;
98;4;181;98;3999;11.10.2020;
99;59;256;99;7119;06.08.2020;
100;24;348;100;6378;15.10.2020;
101;96;315;101;4471;31.12.2020;
102;14;423;102;4164;12.05.2020;
103;1;314;103;2019;21.12.2020;
104;41;399;104;9545;10.10.2020;
105;65;382;105;3214;12.09.2020;
106;35;326;106;4601;22.07.2020;
107;27;389;107;5538;05.03.2021;
108;85;104;108;6862;21.07.2020;
109;84;146;109;6713;27.03.2021;
110;14;259;110;8946;27.10.2020;
111;77;122;111;6315;12.04.2021;
112;21;183;112;8539;13.05.2020;
113;24;233;113;8255;28.08.2020;
114;70;383;114;5852;01.01.2021;
115;95;193;115;3228;15.01.2021;
116;87;51;116;3579;11.05.2020;
117;89;230;117;9705;12.07.2020;
118;26;250;118;693;14.05.2020;
119;14;129;119;5404;19.05.2020;
120;59;287;120;1203;09.10.2020;
121;39;461;121;2745;03.06.2020;
122;6;278;122;8397;03.12.2020;
123;45;498;123;1633;21.10.2020;
124;43;189;124;3477;14.04.2021;
125;19;69;125;9190;25.04.2021;
126;4;246;126;2374;18.11.2020;
127;14;86;127;403;25.07.2020;
128;39;342;128;7405;07.12.2020;
129;96;344;129;4159;11.12.2020;
130;74;364;130;8398;20.01.2021;
131;75;63;131;1550;11.07.2020;
132;82;196;132;7913;25.12.2020;
133;79;347;133;473;09.08.2020;
134;23;94;134;8092;25.04.2021;
135;46;164;135;7793;10.07.2020;
136;88;113;136;4357;01.04.2021;
137;72;279;137;1053;11.11.2020;
138;22;349;138;6929;11.10.2020;
139;17;152;139;375;30.07.2020;
140;2;98;140;6711;17.12.2020;
141;73;15;141;8161;16.03.2021;
142;96;275;142;4743;03.10.2020;
143;40;279;143;7320;22.07.2020;
144;3;14;144;5503;02.01.2021;
145;66;45;145;362;15.10.2020;
146;17;124;146;4663;17.03.2021;
