id_stanowisko;nazwa;opis
1;VP Sales;Brak
2;Legal Assistant;Brak
3;Senior Quality Engineer;Brak
4;Chemical Engineer;Brak
5;Recruiting Manager;Brak
6;Recruiting Manager;Brak
7;Structural Engineer;Brak
8;Operator;Brak
9;Data Coordiator;Brak
10;Administrative Assistant IV;Brak
11;Research Associate;Brak
12;Actuary;Brak
13;Research Nurse;Brak
14;Food Chemist;Brak
15;Assistant Manager;Brak
16;Financial Analyst;Brak
17;Clinical Specialist;Brak
18;Administrative Officer;Brak
19;Safety Technician III;Brak
20;Help Desk Operator;Brak
21;Community Outreach Specialist;Brak
22;Environmental Tech;Brak
23;Tax Accountant;Brak
24;Assistant Media Planner;Brak
25;Senior Sales Associate;Brak
26;Recruiter;Brak
27;Design Engineer;Brak
28;Web Developer I;Brak
29;Director of Sales;Brak
30;Occupational Therapist;Brak
31;GIS Technical Architect;Brak
32;Computer Systems Analyst II;Brak
33;Internal Auditor;Brak
34;Legal Assistant;Brak
35;Research Nurse;Brak
36;Marketing Manager;Brak
37;Speech Pathologist;Brak
38;Structural Engineer;Brak
39;Administrative Officer;Brak
40;Senior Quality Engineer;Brak
41;Legal Assistant;Brak
42;Social Worker;Brak
43;Environmental Specialist;Brak
44;VP Accounting;Brak
45;Design Engineer;Brak
46;Cost Accountant;Brak
47;Geological Engineer;Brak
48;VP Product Management;Brak
49;Systems Administrator III;Brak
50;Help Desk Technician;Brak
51;Biostatistician I;Brak
52;VP Accounting;Brak
53;VP Product Management;Brak
54;Payment Adjustment Coordinator;Brak
55;Chemical Engineer;Brak
56;Accountant IV;Brak
57;Software Consultant;Brak
58;Internal Auditor;Brak
59;Chief Design Engineer;Brak
60;Computer Systems Analyst II;Brak
61;Senior Quality Engineer;Brak
62;Developer II;Brak
63;Staff Accountant IV;Brak
64;Dental Hygienist;Brak
65;Marketing Assistant;Brak
66;Executive Secretary;Brak
67;Chemical Engineer;Brak
68;Data Coordiator;Brak
69;Web Developer I;Brak
70;Help Desk Technician;Brak
71;Safety Technician III;Brak
72;Compensation Analyst;Brak
73;Research Assistant III;Brak
74;Physical Therapy Assistant;Brak
75;Software Consultant;Brak
76;Speech Pathologist;Brak
77;GIS Technical Architect;Brak
78;Geologist III;Brak
79;Dental Hygienist;Brak
80;Developer IV;Brak
81;Assistant Professor;Brak
82;Geologist IV;Brak
83;Database Administrator III;Brak
84;Account Representative II;Brak
85;Tax Accountant;Brak
86;Budget/Accounting Analyst I;Brak
87;Budget/Accounting Analyst IV;Brak
88;Professor;Brak
89;Desktop Support Technician;Brak
90;Technical Writer;Brak
91;Nurse Practicioner;Brak
92;Business Systems Development Analyst;Brak
93;Chemical Engineer;Brak
94;Internal Auditor;Brak
95;General Manager;Brak
96;Product Engineer;Brak
97;VP Sales;Brak
98;Senior Developer;Brak
99;Nurse Practicioner;Brak
100;Product Engineer;Brak
