id_zamowienie;id_produkt;id_pracownik;id_klient;data_zakupu;uwagi
1;175;31;186;20.03.2021;brak
2;364;48;143;22.11.2020;brak
3;489;212;28;18.05.2020;brak
4;65;240;222;21.01.2021;brak
5;20;233;439;20.03.2021;brak
6;435;65;467;10.05.2020;brak
7;411;212;442;25.11.2020;brak
8;180;260;27;12.04.2021;brak
9;52;199;479;09.07.2020;brak
10;320;6;39;25.12.2020;brak
11;15;175;47;14.07.2020;brak
12;344;261;257;19.07.2020;brak
13;500;48;20;06.10.2020;brak
14;433;71;259;28.12.2020;brak
15;167;190;144;27.07.2020;brak
16;96;234;277;23.10.2020;brak
17;340;152;393;11.07.2020;brak
18;174;16;328;13.11.2020;brak
19;410;141;297;26.02.2021;brak
20;224;28;92;14.05.2020;brak
21;340;216;97;12.05.2020;brak
22;48;298;320;15.06.2020;brak
23;317;61;197;27.08.2020;brak
24;279;214;260;23.02.2021;brak
25;88;256;311;27.01.2021;brak
26;7;87;141;26.02.2021;brak
27;315;50;169;09.01.2021;brak
28;422;248;184;30.10.2020;brak
29;350;32;155;29.12.2020;brak
30;465;192;389;08.05.2020;brak
31;69;132;386;07.06.2020;brak
32;426;249;17;16.10.2020;brak
33;368;131;224;29.05.2020;brak
34;62;106;186;08.03.2021;brak
35;424;210;303;27.01.2021;brak
36;414;74;63;30.09.2020;brak
37;67;198;197;27.09.2020;brak
38;241;170;186;16.05.2020;brak
39;26;232;112;01.05.2021;brak
40;229;49;148;06.10.2020;brak
41;377;211;445;15.09.2020;brak
42;344;249;328;21.08.2020;brak
43;191;255;189;20.07.2020;brak
44;133;144;70;04.10.2020;brak
45;443;276;308;04.05.2020;brak
46;191;214;297;17.08.2020;brak
47;19;45;207;23.09.2020;brak
48;145;58;482;14.10.2020;brak
49;390;209;71;11.01.2021;brak
50;71;295;125;14.05.2020;brak
51;396;210;216;23.08.2020;brak
52;11;74;47;24.10.2020;brak
53;418;171;288;15.02.2021;brak
54;335;89;83;12.02.2021;brak
55;333;218;290;20.06.2020;brak
56;274;271;262;02.06.2020;brak
57;137;252;17;16.02.2021;brak
58;401;244;155;27.03.2021;brak
59;278;45;312;13.07.2020;brak
60;488;184;209;31.10.2020;brak
61;357;116;144;05.10.2020;brak
62;402;247;266;29.09.2020;brak
63;230;275;6;11.12.2020;brak
64;14;3;132;15.10.2020;brak
65;159;4;330;19.12.2020;brak
66;95;278;43;28.09.2020;brak
67;246;20;422;25.05.2020;brak
68;297;226;102;30.07.2020;brak
69;262;229;408;21.10.2020;brak
70;394;201;395;28.12.2020;brak
71;430;286;88;14.04.2021;brak
72;249;8;26;17.08.2020;brak
73;303;13;207;26.11.2020;brak
74;225;55;197;25.07.2020;brak
75;196;116;85;03.11.2020;brak
76;171;261;336;27.05.2020;brak
77;65;116;384;05.06.2020;brak
78;342;5;38;21.10.2020;brak
79;91;11;173;08.08.2020;brak
80;186;253;253;12.02.2021;brak
81;194;170;74;07.08.2020;brak
82;15;103;111;13.05.2020;brak
83;266;152;158;04.02.2021;brak
84;88;91;453;12.12.2020;brak
85;265;151;291;12.07.2020;brak
86;321;141;253;22.03.2021;brak
87;68;263;65;24.06.2020;brak
88;337;259;66;22.04.2021;brak
89;237;250;360;03.01.2021;brak
90;121;44;88;04.12.2020;brak
91;298;207;51;18.11.2020;brak
92;418;29;310;31.08.2020;brak
93;473;84;106;02.06.2020;brak
94;67;65;179;03.06.2020;brak
95;333;230;373;01.08.2020;brak
96;75;249;48;02.12.2020;brak
97;422;106;108;09.04.2021;brak
98;133;166;114;27.09.2020;brak
99;362;74;85;30.03.2021;brak
100;478;138;185;25.07.2020;brak
101;368;27;165;03.04.2021;brak
102;292;185;25;09.07.2020;brak
103;234;264;277;24.09.2020;brak
104;45;277;494;24.06.2020;brak
105;148;178;477;28.10.2020;brak
106;358;77;407;14.11.2020;brak
107;147;164;144;26.07.2020;brak
108;329;223;344;25.08.2020;brak
109;406;93;331;16.03.2021;brak
110;254;10;17;08.06.2020;brak
111;347;150;46;29.04.2021;brak
112;73;167;413;27.08.2020;brak
113;413;137;500;14.01.2021;brak
114;207;163;174;11.02.2021;brak
115;120;194;477;08.07.2020;brak
116;29;237;455;10.08.2020;brak
117;198;10;402;20.08.2020;brak
118;280;64;350;05.09.2020;brak
119;355;7;111;14.07.2020;brak
120;432;124;101;03.01.2021;brak
121;24;81;14;13.11.2020;brak
122;145;190;432;11.12.2020;brak
123;167;64;425;18.02.2021;brak
124;94;219;59;10.05.2020;brak
125;355;202;76;05.03.2021;brak
126;249;74;216;24.12.2020;brak
127;99;36;469;10.04.2021;brak
128;160;288;293;04.03.2021;brak
129;232;256;399;27.10.2020;brak
130;407;84;127;06.01.2021;brak
131;479;198;95;11.03.2021;brak
132;253;133;68;15.10.2020;brak
133;157;82;426;14.08.2020;brak
